Zero crossing,Centroid,Rolloff,MFCC,Chroma Freq,Genre
107.376953125,2306926.4434536104,4920950.6103515625,50117.10361112461,5431.967420500815,blues
72.45947265625,1978518.445618681,4590825.0732421875,-1438.0951830734948,5289.6148291425,blues
98.64453125,2007785.7411359784,3933642.48046875,26743.474552268362,5642.194562234474,blues
43.068359375,1383647.8531912866,2824876.318359375,1844.950625640452,6280.639640308951,blues
131.1884765625,2372660.5153071084,4628626.611328125,-218745.6188291461,4787.0896695047195,blues
121.595703125,2368768.1639116555,4501602.24609375,-183581.52614567726,4692.9113111002935,blues
94.45654296875,1886960.847902624,3614724.9755859375,-203162.57820287213,4520.245015368973,blues
79.44482421875,1877005.5161347664,3820603.9306640625,-154158.29333833855,4778.226720282694,blues
82.7841796875,2223144.049819787,4890534.9609375,51776.11382748583,6344.1704046989435,blues
102.373046875,2349576.066021556,5098933.30078125,-132297.70566416776,4250.614371603628,blues
81.40576171875,1823072.1455489234,3576309.7412109375,-95191.24443076972,4716.760138262725,blues
56.80224609375,1748988.9474167174,3724845.7763671875,-170837.91182359203,5696.731246446553,blues
89.33984375,1759309.0680306824,3541059.8876953125,-77333.65223136419,4179.872564678275,blues
66.46240234375,1712311.1310654944,3504378.076171875,-38088.54754429114,4107.28424156751,blues
58.232421875,1515199.757399844,3031110.5712890625,-93210.86191540054,5105.327432850239,blues
82.36572265625,1836532.1585182925,3788444.091796875,-95110.20538868925,4184.516489094232,blues
79.31787109375,1881268.37568112,3891232.8369140625,-62669.042330275646,4719.742821191581,blues
62.48583984375,1407875.5890702999,2760545.8740234375,-39565.63734612659,4687.756063662026,blues
72.59130859375,1988100.894191319,4519700.9033203125,-55629.16489977835,4188.269624201596,blues
76.1396484375,1545743.195880238,2890197.2900390625,-83105.01496853419,3992.651677302318,blues
67.994140625,1797659.9139209338,3886980.029296875,-71251.32076614494,4695.321656623989,blues
61.9443359375,1353189.1636075582,2366617.4560546875,-23663.352144894503,4982.193382640874,blues
75.73095703125,1494425.1185820494,2804559.7412109375,-7888.409345131281,4756.224913814507,blues
67.83984375,1564514.306719881,3260611.4501953125,-62285.12723181166,4357.244505377259,blues
61.1279296875,1448185.1707446184,3004700.09765625,-84791.90500411298,4082.449123419054,blues
66.8447265625,1434393.1502137876,2900640.8935546875,-27889.679853959904,4514.531572279213,blues
67.20068359375,1549607.5963139995,3203117.7978515625,-77056.03204425886,4319.320023288956,blues
93.6318359375,1799651.6439451943,3635526.0498046875,-93328.60552656327,4479.582619762819,blues
62.08984375,1442636.5651098746,2961805.95703125,-104161.18057426086,4284.828149720672,blues
68.39306640625,2131943.874102102,4861540.5029296875,-222843.0907030602,4350.01189074427,blues
50.900390625,1783291.8708435597,3900352.1484375,-227565.07784464222,4083.715809029428,blues
55.53076171875,1720615.2933808242,3748133.935546875,-249717.13077222294,3934.131703573645,blues
50.92919921875,1693031.453634196,3572799.8291015625,-310113.4785428011,4286.214479661444,blues
54.27197265625,1849626.71563017,4196390.625,-269980.83114663337,4044.017347546148,blues
59.09326171875,1987467.7405727052,4657933.30078125,-220811.03573594298,4070.836281000207,blues
58.72802734375,1948386.6283091893,4401612.8173828125,-193824.14666063222,4474.5790399922425,blues
47.72119140625,1612830.0534153415,3387904.98046875,-253243.60377038983,3621.40523007941,blues
62.27587890625,1536482.4273298883,3024704.443359375,-304753.61730696773,3857.8063272897543,blues
57.37451171875,1957732.1707648875,4463326.9775390625,-220406.1056782718,4125.519591061178,blues
45.669921875,1488254.6274021096,2988700.927734375,-346361.5060766147,3960.3946059347445,blues
126.25244140625,2938264.334700682,6604922.4609375,52937.666781308246,6175.304407825928,blues
